24,Lunar Lander,1979,arcade
23,Galaxian,1979,arcade
22,Pong,1972,arcade
21,Arkanoid,1986,arcade
21,Dragon's Lair,1983,daphne
21,Joust,1982,arcade
21,Centipede,1981,arcade
21,Missile Command,1980,arcade
21,Double Dragon,1987,arcade
20,Rampage,1986,arcade
19,Bubble Bobble,1986,arcade
18,Mario Bros,1983,arcade
17,Dig Dug,1982,arcade
16,Q*Bert,1982,arcade
19,Crazy Taxi,1999,naomi
19,Terminator 2: Judgment Day,1991,arcade
19,Smash TV,1990,arcade
19,The House of the Dead 2,1998,naomi
19,Killer Instinct,1994,arcade
18,X-Men,1992,arcade
17,NBA Jam,1993,arcade
16,Metal Slug: Super Vehicle-001,1996,arcade
15,Gauntlet,1985,arcade
14,The Simpsons,1991,arcade
13,Daytona USA,1994,arcade/model2/model3
12,Time Crisis 2,1997,arcade
11,Mortal Kombat 2,1993,arcade
10,Galaga,1981,arcade
9,Star Wars Trilogy Arcade,1998,arcade/model3
8,Frogger,1981,arcade
7,Asteroids,1979,arcade
6,Teenage Mutant Ninja Turtles: Turtles in Time,1991,arcade
5,Dance Dance Revolution,1999,arcade
4,Space Invaders,1978,arcade
3,Donkey Kong,1981,arcade
2,Street Fighter II : Champion Edition,1992,arcade
1,Ms. Pac-Man,1981,arcade