24,Lunar Lander,1979
23,Galaxian,1979
22,Pong,1972
21,Arkanoid,1986
21,Dragon's Lair,1983
21,Joust,1982
21,Centipede,1980
21,Missile Command,1980
21,Double Dragon,1987
20,Rampage,1986
19,Bubble Bobble,1986
18,Mario Bros,1983
17,Dig Dug,1982
16,Q*Bert,1982
19,Crazy Taxi,1999
19,Terminator 2: Judgment Day,1991
19,Smash TV,1990
19,The House of the Dead 2,1998
19,Killer Instinct,1994
18,X-Men,1992
17,NBA Jam,1993
16,Metal Slug: Super Vehicle-001,1996
15,Gauntlet,1985
14,The Simpsons,1991
13,Daytona USA,1994
12,Time Crisis 2,1997
11,Mortal Kombat 2,1993
10,Galaga,1981
9,Star Wars Trilogy Arcade,1998
8,Frogger,1981
7,Asteroids,1979
6,Teenage Mutant Ninja Turtles: Turtles in Time,1991
5,Dance Dance Revolution,1999
4,Space Invaders,1978
3,Donkey Kong,1981
2,Street Fighter II : Champion Edition,1992
1,Ms. Pac-Man,1981