23,Lunar Lander,1979
22,Galaxian,1979
21,Pong,1972
20,Arkanoid,1986
20,Dragon's Lair,1983
20,Joust,1982
20,Centipede,1980
20,Missile Command,1980
20,Double Dragon,1987
19,Rampage,1986
18,Bubble Bobble,1986
17,Mario Bros,1983
16,Dig Dug,1982
15,Q*Bert,1982
18,Crazy Taxi,1999
18,Terminator 2: Judgment Day,1991
18,Smash TV,1990
18,The House of the Dead 2,1998
18,Killer Instinct,1994
17,X-Men,1992
16,NBA Jam,1993
15,Metal Slug: Super Vehicle-001,1996
14,Gauntlet,1985
13,The Simpsons,1991
12,Daytona USA,1994
11,Time Crisis II,1997
10,Mortal Kombat II,1993
9,Galaga,1981
8,Star Wars Trilogy Arcade,1998
7,Frogger,1981
6,Asteroids,1979
5,Teenage Mutant Ninja Turtles: Turtles in Time,1991
4,Space Invaders,1978
3,Donkey Kong,1981
2,Street Fighter II : The World Warrior,1991
2,Street Fighter II : Champion Edition,1992
2,Street Fighter II : Hyper Fighting,1992
1,Ms. Pac-Man,1981